model,condition,question_idx,continuation_set,continuation_type,logprob
Base,neutral,0,0,english_lower,-37.410730957984754
Base,neutral,0,0,english_caps,-47.757656753092306
Base,neutral,0,0,spanish_lower,-57.31040859222412
Base,neutral,0,0,spanish_caps,-68.89436351601034
Base,neutral,0,1,english_lower,-55.49130153656006
Base,neutral,0,1,english_caps,-53.99159574508667
Base,neutral,0,1,spanish_lower,-56.49143747240305
Base,neutral,0,1,spanish_caps,-65.90799736906649
Base,neutral,0,2,english_lower,-33.96613144874573
Base,neutral,0,2,english_caps,-46.637945281370776
Base,neutral,0,2,spanish_lower,-54.15219044685364
Base,neutral,0,2,spanish_caps,-78.33101830910891
Base,neutral,0,3,english_lower,-42.55404281616211
Base,neutral,0,3,english_caps,-55.00835704803467
Base,neutral,0,3,spanish_lower,-47.00842755846679
Base,neutral,0,3,spanish_caps,-62.05287837982178
Base,neutral,0,4,english_lower,-46.51210975646973
Base,neutral,0,4,english_caps,-57.228514706944225
Base,neutral,0,4,spanish_lower,-56.01670169830322
Base,neutral,0,4,spanish_caps,-68.49293659933755
Base,neutral,1,0,english_lower,-34.285346031188965
Base,neutral,1,0,english_caps,-44.009685241326224
Base,neutral,1,0,spanish_lower,-44.02263116836548
Base,neutral,1,0,spanish_caps,-56.98435042076744
Base,neutral,1,1,english_lower,-45.04837656021118
Base,neutral,1,1,english_caps,-44.305063247680664
Base,neutral,1,1,spanish_lower,-42.59061026573181
Base,neutral,1,1,spanish_caps,-56.08569899445831
Base,neutral,1,2,english_lower,-25.588017508387566
Base,neutral,1,2,english_caps,-35.58376720518754
Base,neutral,1,2,spanish_lower,-40.10364970937371
Base,neutral,1,2,spanish_caps,-59.42236192710698
Base,neutral,1,3,english_lower,-37.869046688079834
Base,neutral,1,3,english_caps,-53.105693340301514
Base,neutral,1,3,spanish_lower,-40.04050878016278
Base,neutral,1,3,spanish_caps,-57.92521858215332
Base,neutral,1,4,english_lower,-37.775185108184814
Base,neutral,1,4,english_caps,-45.901397794426885
Base,neutral,1,4,spanish_lower,-50.70607089996338
Base,neutral,1,4,spanish_caps,-65.61660841293633
Base,neutral,2,0,english_lower,-38.2881498336792
Base,neutral,2,0,english_caps,-43.34678995087597
Base,neutral,2,0,spanish_lower,-52.05826663970947
Base,neutral,2,0,spanish_caps,-61.42889723647385
Base,neutral,2,1,english_lower,-55.68112564086914
Base,neutral,2,1,english_caps,-50.27342343330383
Base,neutral,2,1,spanish_lower,-57.88919138908386
Base,neutral,2,1,spanish_caps,-66.42138095744986
Base,neutral,2,2,english_lower,-39.69421339035034
Base,neutral,2,2,english_caps,-50.61757152347127
Base,neutral,2,2,spanish_lower,-57.31544837355614
Base,neutral,2,2,spanish_caps,-73.65922852419317
Base,neutral,2,3,english_lower,-37.21635317802429
Base,neutral,2,3,english_caps,-49.45381689071655
Base,neutral,2,3,spanish_lower,-40.99210925400257
Base,neutral,2,3,spanish_caps,-65.17775630950928
Base,neutral,2,4,english_lower,-46.81192398071289
Base,neutral,2,4,english_caps,-58.30900901591485
Base,neutral,2,4,spanish_lower,-53.94059228897095
Base,neutral,2,4,spanish_caps,-60.99939209665172
Base,neutral,3,0,english_lower,-34.287373542785645
Base,neutral,3,0,english_caps,-45.132920655363705
Base,neutral,3,0,spanish_lower,-36.29629182815552
Base,neutral,3,0,spanish_caps,-57.66021054983133
Base,neutral,3,1,english_lower,-51.32492470741272
Base,neutral,3,1,english_caps,-43.95085883140564
Base,neutral,3,1,spanish_lower,-45.38265609741211
Base,neutral,3,1,spanish_caps,-55.54763970954468
Base,neutral,3,2,english_lower,-24.74434594810009
Base,neutral,3,2,english_caps,-37.16021978790741
Base,neutral,3,2,spanish_lower,-36.97280434984714
Base,neutral,3,2,spanish_caps,-65.1743780914694
Base,neutral,3,3,english_lower,-45.613943099975586
Base,neutral,3,3,english_caps,-58.30916690826416
Base,neutral,3,3,spanish_lower,-36.092745089903474
Base,neutral,3,3,spanish_caps,-53.76842212677002
Base,neutral,3,4,english_lower,-46.66629505157471
Base,neutral,3,4,english_caps,-55.30496289694656
Base,neutral,3,4,spanish_lower,-46.094746112823486
Base,neutral,3,4,spanish_caps,-60.66155198740307
Base,neutral,4,0,english_lower,-38.810541708022356
Base,neutral,4,0,english_caps,-48.30549602326937
Base,neutral,4,0,spanish_lower,-40.665231704711914
Base,neutral,4,0,spanish_caps,-64.8915274143219
Base,neutral,4,1,english_lower,-52.25505781173706
Base,neutral,4,1,english_caps,-50.133924782276154
Base,neutral,4,1,spanish_lower,-48.34613933041692
Base,neutral,4,1,spanish_caps,-61.753747378939806
Base,neutral,4,2,english_lower,-29.954874277114868
Base,neutral,4,2,english_caps,-44.04938816645881
Base,neutral,4,2,spanish_lower,-43.37219390273094
Base,neutral,4,2,spanish_caps,-65.60426172986627
Base,neutral,4,3,english_lower,-47.20080280303955
Base,neutral,4,3,english_caps,-58.90044832229614
Base,neutral,4,3,spanish_lower,-38.71695218235254
Base,neutral,4,3,spanish_caps,-58.52159786224365
Base,neutral,4,4,english_lower,-47.09974002838135
Base,neutral,4,4,english_caps,-59.67343398162302
Base,neutral,4,4,spanish_lower,-47.19570279121399
Base,neutral,4,4,spanish_caps,-54.27152412204305
Base,neutral,5,0,english_lower,-31.816354274749756
Base,neutral,5,0,english_caps,-41.443527686817106
Base,neutral,5,0,spanish_lower,-41.30128002166748
Base,neutral,5,0,spanish_caps,-56.408402537927
Base,neutral,5,1,english_lower,-47.64927434921265
